Plot name,Proeltis virscens,Cs sp.2,Ctena sp.4,Eaea sp.,Meslon sp.1,Ptiae sp.1,Mellma sp.4,Mphthalma sp.6,Alenae sp.12,Seriilus ada,Cotra zeaicum,Nrius sp.4,Scretus nr. anis,Dtes sp.1
NewSite038,0.409461585900,1.916544512187,0.051810639235,12.247674195898,2.500209145200,0.000000000000,83.241967223912,15.989188511861,0.230144407061,5.081556343746,0.216768402852,0.081169725661,0.000000000000,0.000000000000
NewSite039,0.426281464557,1.918577774527,0.043074543544,12.619324646617,2.427424275604,0.000000000000,85.693244386336,16.121588510187,0.241889382585,5.023233343543,0.221746519273,0.040778180130,0.000000000000,0.000000000000
NewSite040,0.214247473161,1.509445549319,0.581785914951,0.497805926866,0.660920423197,3.756063018931,12.734754385188,7.267185865084,0.036826058745,0.377276426121,3.675960154570,1.630851054234,0.740750335219,1.741342430121
NewSite041,0.000000000000,0.076821990407,4.187417948610,0.000000000000,0.162669091203,0.167060872172,0.178647698123,0.137041418138,0.015009727017,0.015009727017,2.924182309953,0.152051145155,0.295141718321,2.474224177908
NewSite042,0.000000000000,0.076821990407,4.187417948610,0.000000000000,0.162669091203,0.167060872172,0.178647698123,0.137041418138,0.015009727017,0.015009727017,2.924182309953,0.152051145155,0.295141718321,2.474224177908
NewSite043,0.000000000000,0.068990735905,5.725653061656,0.000000000000,0.120198893228,0.164152300235,0.196615583686,0.105712782550,0.029219758842,0.029219758842,2.411297688624,0.134932541392,0.243365226079,4.188787320951
NewSite044,0.000000000000,0.068990735905,5.725653061656,0.000000000000,0.120198893228,0.164152300235,0.196615583686,0.105712782550,0.029219758842,0.029219758842,2.411297688624,0.134932541392,0.243365226079,4.188787320951
NewSite045,0.000000000000,0.051078722107,8.298225870558,0.000000000000,0.036934985695,0.147457862354,0.258975130461,0.043873725904,0.051792068225,0.051792068225,1.465506279044,0.095665794129,0.152974668974,7.690819268701
NewSite046,0.000000000000,0.041263897744,9.118201717593,0.000000000000,0.008709599471,0.134677597663,0.304944429644,0.017739095756,0.058469250954,0.058469250954,1.138252455892,0.076208346709,0.134226286416,9.259610146145
NewSite047,0.000000000000,0.016402872815,9.463299308768,0.000000000000,0.000000000000,0.120132650072,0.400585012639,0.000048469329,0.060042090372,0.060042090372,1.041293550921,0.060090559701,0.174806360576,11.028142298465
NewSite048,0.115460647731,0.509451610141,1.113146070650,0.222791769620,0.303837740147,2.557434613203,5.411407377816,3.714019236947,0.337045530744,0.148886178533,2.334631789241,1.352249827661,0.963241514784,4.598983351361
NewSite049,0.051603565847,0.000000000000,6.561634979857,0.000000000000,0.007939010130,0.220965064741,0.510698440223,0.019847525326,0.036701885461,0.036701885461,1.396799097607,0.088305451308,0.771279077471,9.929862931601
NewSite050,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite051,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite052,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite053,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite054,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite055,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite056,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite057,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite058,0.225823657925,0.000000000000,3.408717625777,0.000000000000,0.213654061040,2.586529517837,0.873952253593,0.609213981067,1.237820653732,0.171860070019,0.637326998721,2.138161155983,1.083029496451,3.607676247845
NewSite059,0.131117176522,0.109202779863,1.286689352140,0.012326395503,0.015857297078,4.084986764719,3.549243689927,1.693525571839,0.259369310768,0.176571013175,1.397307835515,1.275355932023,2.605044792675,4.225428832956
NewSite060,0.131117176522,0.109202779863,1.286689352140,0.012326395503,0.015857297078,4.084986764719,3.549243689927,1.693525571839,0.259369310768,0.176571013175,1.397307835515,1.275355932023,2.605044792675,4.225428832956
NewSite061,0.131117176522,0.109202779863,1.286689352140,0.012326395503,0.015857297078,4.084986764719,3.549243689927,1.693525571839,0.259369310768,0.176571013175,1.397307835515,1.275355932023,2.605044792675,4.225428832956
NewSite062,0.388444460897,2.507778762205,0.172452239046,0.738368270709,0.343693348830,7.038324014229,20.879893260169,11.584079349520,0.110088321714,0.243241011410,0.780328674451,2.719370781686,0.366029969360,0.681031357860
NewSite063,0.388444460897,2.507778762205,0.172452239046,0.738368270709,0.343693348830,7.038324014229,20.879893260169,11.584079349520,0.110088321714,0.243241011410,0.780328674451,2.719370781686,0.366029969360,0.681031357860
NewSite064,0.388444460897,2.507778762205,0.172452239046,0.738368270709,0.343693348830,7.038324014229,20.879893260169,11.584079349520,0.110088321714,0.243241011410,0.780328674451,2.719370781686,0.366029969360,0.681031357860
NewSite065,0.317098729840,2.028132346292,0.321453451377,0.702633207065,0.451380847540,5.739863045057,17.940797817187,9.870526474566,0.081523837925,0.358423141999,1.906254568833,2.288510496474,0.483214788830,1.057093740801
NewSite066,0.241803425248,2.283378480423,0.415495786758,1.265156980749,1.423688610862,3.658028672618,19.802654879005,9.557908427134,0.041713442706,1.281340500550,2.276425683868,1.730358157461,0.559789690561,0.818467025563
