Plot name,X,Y,row,column,Distance,Point Cover,Edge Influence
NewSite014,613873.000000000000,5277232.000000000000,355.000000000000,218.000000000000,52.082038879395,90.000000000000,-37.919612884521
NewSite015,614050.875000000000,5277363.000000000000,350.000000000000,224.000000000000,-15.000000000000,38.000000000000,40.047863006592
NewSite016,614051.812500000000,5277361.000000000000,350.000000000000,224.000000000000,-15.000000000000,38.000000000000,40.047863006592
NewSite017,614053.062500000000,5277358.000000000000,350.000000000000,224.000000000000,-15.000000000000,38.000000000000,40.047863006592
NewSite018,614056.187500000000,5277350.000000000000,351.000000000000,224.000000000000,15.000000000000,78.000000000000,-40.123825073242
NewSite019,614062.625000000000,5277333.500000000000,351.000000000000,224.000000000000,15.000000000000,78.000000000000,-40.123825073242
NewSite020,614074.687500000000,5277307.500000000000,352.000000000000,225.000000000000,52.082038879395,90.000000000000,-41.409313201904
NewSite021,614095.500000000000,5277247.500000000000,354.000000000000,226.000000000000,119.164077758789,90.000000000000,-39.903827667236
NewSite022,613784.125000000000,5277226.000000000000,355.000000000000,215.000000000000,15.000000000000,78.000000000000,-38.217212677002
NewSite023,613782.562500000000,5277223.000000000000,355.000000000000,215.000000000000,15.000000000000,78.000000000000,-38.217212677002
NewSite024,613780.250000000000,5277220.000000000000,355.000000000000,215.000000000000,15.000000000000,78.000000000000,-38.217212677002
NewSite025,613774.625000000000,5277214.000000000000,355.000000000000,215.000000000000,15.000000000000,78.000000000000,-38.217212677002
NewSite026,613764.625000000000,5277199.500000000000,356.000000000000,215.000000000000,-15.000000000000,0.000000000000,47.719242095947
NewSite027,613743.125000000000,5277181.500000000000,356.000000000000,214.000000000000,-15.000000000000,0.000000000000,45.025760650635
NewSite028,613690.750000000000,5277138.500000000000,358.000000000000,212.000000000000,-15.000000000000,0.000000000000,43.154605865479
NewSite029,617341.250000000000,5283985.000000000000,129.000000000000,334.000000000000,15.000000000000,82.000000000000,-39.860820770264
NewSite030,620175.625000000000,5285302.000000000000,86.000000000000,428.000000000000,45.000000000000,90.000000000000,-22.353916168213
NewSite031,620175.875000000000,5285304.000000000000,85.000000000000,428.000000000000,75.000000000000,90.000000000000,-21.135271072388
NewSite032,620176.062500000000,5285308.000000000000,85.000000000000,428.000000000000,75.000000000000,90.000000000000,-21.135271072388
NewSite033,620176.437500000000,5285315.500000000000,85.000000000000,428.000000000000,75.000000000000,90.000000000000,-21.135271072388
NewSite034,620177.500000000000,5285332.000000000000,85.000000000000,428.000000000000,75.000000000000,90.000000000000,-21.135271072388
NewSite035,620179.687500000000,5285361.500000000000,84.000000000000,428.000000000000,105.000000000000,90.000000000000,-19.836881637573
NewSite036,620185.312500000000,5285428.500000000000,81.000000000000,429.000000000000,195.000000000000,90.000000000000,-15.829573631287
NewSite037,620195.000000000000,5285545.500000000000,77.000000000000,429.000000000000,315.000000000000,90.000000000000,-10.745888710022
NewSite038,620225.125000000000,5285808.000000000000,69.000000000000,430.000000000000,555.000000000000,90.000000000000,-1.341726541519
NewSite039,620534.000000000000,5286165.500000000000,57.000000000000,440.000000000000,698.091857910156,90.000000000000,-0.369795739651
NewSite040,617340.250000000000,5283983.500000000000,129.000000000000,334.000000000000,15.000000000000,82.000000000000,-39.860820770264
NewSite041,617338.875000000000,5283982.000000000000,130.000000000000,334.000000000000,-15.000000000000,0.000000000000,46.112140655518
NewSite042,617336.500000000000,5283979.000000000000,130.000000000000,334.000000000000,-15.000000000000,0.000000000000,46.112140655518
NewSite043,617330.312500000000,5283973.500000000000,130.000000000000,333.000000000000,-15.000000000000,0.000000000000,44.247436523438
NewSite044,617318.687500000000,5283962.000000000000,130.000000000000,333.000000000000,-15.000000000000,0.000000000000,44.247436523438
NewSite045,617296.000000000000,5283941.500000000000,131.000000000000,332.000000000000,-52.082038879395,0.000000000000,40.169834136963
NewSite046,617248.125000000000,5283909.500000000000,132.000000000000,331.000000000000,-93.166534423828,0.000000000000,38.186573028564
NewSite047,617101.875000000000,5283905.500000000000,132.000000000000,326.000000000000,-105.000000000000,0.000000000000,35.577201843262
NewSite048,616853.812500000000,5283851.500000000000,134.000000000000,318.000000000000,27.426406860352,70.000000000000,-43.889972686768
NewSite049,616456.250000000000,5283691.500000000000,139.000000000000,304.000000000000,-15.000000000000,0.000000000000,32.068523406982
NewSite050,612095.875000000000,5277937.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite051,612096.812500000000,5277936.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite052,612098.187500000000,5277934.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite053,612100.812500000000,5277931.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite054,612106.250000000000,5277925.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite055,612094.437500000000,5277939.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
